Node_Number, From, To, R, X, Original_Node_from, Original_Node_to
1,1,2,0.006529988,0.005067088,1,160,161
2,2,3,0.004326559,0.003357289,1,161,162
3,3,4,0.007216336,0.005599675,1,162,163
4,4,5,0.027038429,0.010701966,1,163,164
5,5,6,0.005857747,0.00231853,1,164,165
6,4,7,0.019253816,0.007620771,1,163,166
7,4,8,0.016764034,0.006635301,1,163,167
8,8,9,0.016757437,0.00663269,1,167,168
9,9,10,0.012947586,0.005124729,1,168,169
10,10,11,0.013600415,0.005383122,1,169,170
11,11,12,0.016906717,0.006691776,1,170,171
12,12,13,0.012436867,0.004922584,1,171,172
13,13,14,0.011739441,0.004646538,1,172,173
14,14,15,0.016554598,0.006552405,1,173,174
15,15,16,0.013601347,0.005383491,1,174,175
16,16,17,0.03187782,0.012617425,1,175,176
17,17,18,0.016497668,0.006529872,1,176,177
18,18,19,0.029539396,0.011691863,1,177,178
19,15,20,0.030926289,0.012240803,1,174,179
20,20,21,0.029779161,0.011786763,1,179,180
21,21,22,0.017655055,0.003601891,1,180,181
22,21,23,0.037767401,0.014948555,1,180,182
23,23,24,0.023826842,0.009430801,1,182,183
24,24,25,0.020711907,0.008197892,1,183,184
