Bus_No, Real_Power, Reactive_Power, Status, Priority, Original_Node_number, x
1,0,0,1,1,131,0
2,2.7692,0,0,0.5,82,3
3,4.3891,0,0,1,83,3
4,1.0137,0,0,0.5,84,0
5,0.7966,0,0,0.5,85,3
6,0.3142,0,0,0.1,86,3
7,3.3842,0,0,0.1,87,3
8,0.0952,0,0,1,88,3
9,1.4902,0,0,0.5,89,3
10,4.9852,0,0,0.1,90,3
11,3.9144,0,0,0.5,91,3
12,1.2475,0,0,0.1,92,3
13,3.4919,0,0,0.1,93,3
14,0.7057,0,0,0.1,94,3
15,3.2242,0,0,0.1,95,3
16,4.3873,0,0,0.1,96,3
17,4.6063,0,0,0.5,97,3
18,1.7834,0,0,0.5,98,3
19,2.4895,0,0,0.5,99,3
20,3.4786,0,0,1,100,3
21,3.6046,0,0,1,101,3
22,2.3594,0,0,0.5,102,3
23,1.8648,0,0,0.1,103,3
24,1.4347,0,0,0.5,104,3
25,0.3901,0,0,0.5,105,3
26,2.2761,0,0,0.1,106,0
27,0.8483,0,0,0.1,107,3
28,2.0413,0,0,0.5,108,3
29,4.7127,0,0,1,109,0
30,2.6176,0,0,0.1,110,0
31,4.6797,0,0,0.5,111,3
32,0.4706,0,0,0.1,112,3
33,5.0836,0,0,0.5,113,3
34,0.4937,0,0,0.5,114,3
35,1.6031,0,0,0.5,115,0
36,4.0205,0,0,1,116,3
37,3.0838,0,0,0.5,117,3
38,2.3851,0,0,0.1,118,3
39,1.5262,0,0,0.5,119,3
40,0.6817,0,0,0.1,120,3
41,1.5102,0,0,0.1,121,3
42,0.853,0,0,0.1,122,3
43,1.6233,0,0,0.5,123,3
44,0.5623,0,0,1,124,3
45,4.2597,0,0,0.1,125,0
46,4.9738,0,0,0.5,126,0
47,1.1174,0,0,0.1,127,3
48,3.6146,0,0,0.1,128,3
49,0.1997,0,0 ,0.1,129,3
50,3.4266,0,0,0.5,132,3
51,0.1904,0,0,1,133,3
52,0.0171,0,0,0.1,134,3
53,0.7293,0,0,0.5,135,3
54,4.4149,0,0,0.5,136,3
55,1.4131,0,0,0.1,137,3
56,2.7219,0,0,0.1,138,3
57,2.6734,0,0,0.5,139,3
58,2.9058,0,0,1,140,3
59,1.7049,0,0,0.1,141,3
60,2.1164,0,0,0.5,142,0
61,2.1211,0,0,0.1,143,3
62,5.0369,0,0,0.5,144,0
63,0.2956,0,0,0.5,145,3
64,2.03,0,0,1,146,3
65,4.051,0,0,0.5,147,3
66,3.0418,0,0,1,148,3
67,1.5847,0,0,0.5,149,3
68,4.6166,0,0,0.5,150,3
69,0.4767,0,0,0.5,151,3
70,1.6332,0,0,0.5,152,3
71,4.5406,0,0,0.1,153,3
72,3.3656,0,0,0.5,154,3
73,3.5042,0,0,0.5,155,3
74,2.4263,0,0,0.1,156,3
75,0.7231,0,0,0.1,157,3
76,4.868,0,0,1,158,3
77,4.5184,0,0,0.5,159,3
