Node_Number, From, To, R, X, Original_Node_from, Original_Node_to
1,1,2,0.00172659,0.001339786,1,131,82
2,1,17,0.006754471,0.005241281,1,131,97
3,2,3,0.008269878,0.003273265,1,82,83
4,3,4,0.024944789,0.009873291,1,83,84
5,4,15,0.024402593,0.009658687,1,84,95
6,2,5,0.015055436,0.011682599,1,82,85
7,1,16,0.003214828,0.002494617,1,81,96
8,5,6,0.007630061,0.005920715,1,85,86
9,6,7,0.015418296,0.00610265,1,86,87
10,7,9,0.034177956,0.013527832,1,87,89
11,7,8,0.009728256,0.0038505,1,87,88
12,8,10,0.036448695,0.014426603,1,88,90
13,10,11,0.012591022,0.004983599,1,90,91
14,10,12,0.023528135,0.004963477,1,90,92
15,10,13,0.019310387,0.007643163,1,90,93
16,13,14,0.014571878,0.005767633,1,93,94
17,17,18,0.011320153,0.008784123,1,97,98
18,18,19,0.013088082,0.010155987,1,98,99
19,19,20,0.025631101,0.010144937,1,99,100
20,20,21,0.021716424,0.008595486,1,100,101
21,21,22,0.004043163,0.001600307,1,101,102
22,21,23,0.019027531,0.007531206,1,101,103
23,23,24,0.018751056,0.007421776,1,103,104
24,24,25,0.018828563,0.007452454,1,104,105
25,25,26,0.013969956,0.005529389,1,105,106
26,26,27,0.016805691,0.006651789,1,106,107
27,27,28,0.01983136,0.007849366,1,107,108
28,28,29,0.019610667,0.007762015,1,108,109
29,29,30,0.016186634,0.006406763,1,109,110
30,30,31,0.016575893,0.006560834,1,110,111
31,31,32,0.002964867,0.001173511,1,111,112
32,31,33,0.024207211,0.009581353,1,111,113
33,33,34,0.00906625,0.003588474,1,113,114
34,34,35,0.032541762,0.012880217,1,114,115
35,35,36,0.023917901,0.009466843,1,115,116
36,36,37,0.005350254,0.002117661,1,116,117
37,37,38,0.02196845,0.008695239,1,117,118
38,38,39,0.015517242,0.006141814,1,118,119
39,38,40,0.022658347,0.008968304,1,118,120
40,40,41,0.008119523,0.003213754,1,120,121
41,41,42,0.012650533,0.005007154,1,121,122
42,41,43,0.013366099,0.005290379,1,121,123
43,43,44,0.011145335,0.004411388,1,123,124
44,44,45,0.031952388,0.012646939,1,124,125
45,45,46,0.005237685,0.002073106,1,125,126
46,46,47,0.013578259,0.005374353,1,126,127
47,46,48,0.015801103,0.006254167,1,116,128
48,48,49,0.014701153,0.005818801,1,128,129
49,1,51,0.014006518,0.010868668,1,131,132
50,51,52,0.010359001,0.004100152,1,132,133
51,52,77,0.022054346,0.008729237,1,133,159
52,51,53,0.010349021,0.008030552,1,132,134
53,53,54,0.006753935,0.005240866,1,134,135
54,54,55,0.018998994,0.007519911,1,135,136
55,55,56,0.028293322,0.01119866,1,136,137
56,56,57,0.013033841,0.005158869,1,137,138
57,57,58,0.026954611,0.01066879,1,138,139
58,56,59,0.018624792,0.0073718,1,137,140
59,59,60,0.012616906,0.004993844,1,140,141
60,60,62,0.01398487,0.005535292,1,141,143
61,62,61,0.018271813,0.007232089,1,143,142
62,61,63,0.028143397,0.011139319,1,142,144
63,61,64,0.028028175,0.011093713,1,142,145
64,64,65,0.027549506,0.010904253,1,145,146
65,65,66,0.023403167,0.009263108,1,146,147
66,66,67,0.029443533,0.01165392,1,147,148
67,70,75,0.028143397,0.011139319,1,151,156
68,70,71,0.028028175,0.011093713,1,151,152
69,71,72,0.027549506,0.010904253,1,152,153
70,72,73,0.023403167,0.009263108,1,153,154
71,73,74,0.029443533,0.01165392,1,154,155
72,68,77,0.027549506,0.010904253,1,149,158
73,54,68,0.023403167,0.009263108,1,135,149
74,54,69,0.029443533,0.01165392,1,135,150
75,69,70,0.006753935,0.005240866,1,150,151
76,75,76,0.006753935,0.005240866,1,156,157
