Bus_No, Real_Power, Reactive_Power, Status, Priority, Original_Node_number, x
1,0,0,1,1,,
2,100,60,0,0.5,,
3,90,40,0,0.5,,
4,120,80,0,1,,
5,60,30,0,0.5,,
6,60,20,0,0.1,,
7,200,100,0,0.5,,
8,200,100,0,0.1,,
9,60,20,0,0.1,,
10,60,20,0,0.1,,
11,45,30,0,0.5,,
12,60,35,0,1,,
13,60,35,0,0.1,,
14,120,80,0,0.5,,
15,60,10,0,0.1,,
16,60,20,0,0.1,,
17,60,20,0,0.1,,
18,90,40,0,0.5,,
19,90,40,0,0.5,,
20, 290,40,0,1,,
21,90,40,0,1,,
22,90,40,0,0.5,,
23,90,50,0,0.1,,
24,420,200,0,0.5,,
25,420,200,0,0.5,,
26,60,25,0,0.1,,
27,60,25,0,0.1,,
28,60,20,0,0.5,,
29,120,70,0,1,,
30,200,600,0,0.1,,
31,150,70,0,0.5,,
32,210,100,0,0.1,,
33,60,40,0,0.5,,
