Node_Number, From, To, R, X, Original_Node_from, Original_Node_to
1 ,1 ,6 ,0.009642104,0.007482004,500,544
2 ,6 ,7 ,0.011629693,0.009024318,544,545
3 ,7 ,8 ,0.013682439,0.010617191,545,546
4 ,8 ,9 ,0.008405083,0.00652211 ,546,547
5 ,9 ,10,0.011582156,0.008987431,547,548
6 ,10,11,0.011582156,0.008987431,548,549
7 ,10,12,0.020382807,0.015816491,548,550
8 ,12,13,0.030212372,0.011958231,550,551
9 ,10,14,0.012047672,0.009348658,548,552
10,14,15,0.006697555,0.005197116,552,553
11,15,16,0.03926542 ,0.008010723,553,554
12,15,17,0.003402796,0.002640475,553,555
13,7 ,18,0.012021475,0.00932833 ,545,556
14,18,19,0.015448693,0.011987755,556,557
15,19,20,0.004515867,0.003504187,557,558
16,1 ,2 ,0.006660705,0.005168521,500,540
17,2 ,3 ,0.006216059,0.004823489,540,541
18,3 ,4 ,0.014401181,0.011174916,541,542
19,4 ,5 ,0.009992146,0.007753627,542,543
